X1	X2	Y1	Y2	Y2
-41,65	-13,23	778,40	1077,30	1077,30
-39,12	-8,72	1969,70	3439,80	1631,20
-38,02	-11,65	1431,70	7315,30	7315,30
-38,12	-10,53	1631,20	15674,20	1556,60
-38,77	-11,87	1619,90	4674,60	4674,60
-39,88	-14,13	349,00	1768,80	1768,80
-38,42	-12,13	15212,60	6352,60	6352,60
-39,18	-17,52	2161,20	1597,80	1235,40
-39,63	-14,70	437,60	2184,40	2184,40
-39,62	-13,03	3673,40	1631,20	1631,20
-38,75	-12,38	2410,00	4507,20	4507,20
-41,43	-11,45	1518,90	946,00	946,00
-41,13	-14,60	2033,20	1134,00	1134,00
-41,33	-12,80	1222,50	1000,70	1000,70
-39,83	-10,33	1351,90	3015,80	30831,10
-44,68	-12,00	1300,50	315,00	315,00
-39,25	-12,17	1047,20	1941,20	1941,20
-38,35	-10,40	1876,20	15163,20	1541,70
-39,13	-12,43	1077,30	1667,00	1667,00
-40,27	-10,57	1105,80	1206,60	533,50
-38,08	-11,65	1694,30	6657,10	6657,10
-39,75	-13,85	637,70	1652,40	1652,40
-38,22	-12,20	1134,00	7651,10	7651,10
-41,47	-14,42	1206,30	1116,60	1116,60
-38,98	-11,33	5400,60	4598,80	4598,80
-38,50	-12,07	1062,20	6925,40	6925,40
-39,40	-15,25	1000,70	2821,40	2821,40
-39,00	-13,07	795,10	3273,40	3273,40
-39,33	-14,32	1018,20	1643,30	1643,30
-44,53	-12,30	1308,20	352,00	352,00
-40,17	-11,95	1953,40	1308,40	1308,40
-38,62	-10,57	1235,40	5332,80	1833,40
-43,13	-11,10	5332,80	534,40	534,40
-41,33	-13,62	1930,10	1062,20	1062,20
-40,58	-14,87	2993,40	1476,40	1476,40
-42,05	-11,80	1223,10	740,30	740,30
-39,62	-14,20	461,80	1976,70	1976,70
-45,00	-12,17	15753,50	445,50	445,50
-41,90	-11,75	1427,40	968,60	968,60
-39,48	-14,80	441,50	2094,30	2094,30
-39,08	-11,52	1532,80	1815,90	1815,90
-38,87	-15,85	2264,30	4038,20	4038,20
-41,62	-11,55	1611,60	957,30	957,30
-38,80	-11,62	1509,20	5000,60	5000,60
-40,22	-14,35	1114,20	1435,00	1435,00
-40,62	-12,65	1759,40	1343,40	1343,40
-43,42	-13,25	6925,40	693,30	693,30
-40,50	-14,37	887,10	1454,80	1454,80
-41,83	-12,70	1362,10	1032,40	1032,40
-41,25	-11,97	1610,20	961,60	961,60
-42,73	-12,82	2058,90	776,20	776,20
-42,52	-13,37	915,30	801,50	801,50
-39,78	-13,10	1325,80	2058,90	2058,90
-43,97	-12,47	977,80	562,10	562,10
-42,62	-11,98	980,80	727,90	727,90
-41,65	-14,20	6657,10	1158,50	1158,50
-39,28	-14,95	1737,20	1949,70	1949,70
-43,62	-10,70	2047,70	533,50	7219,50
-40,40	-14,97	533,50	1737,20	1737,20
-39,18	-12,53	1811,30	2852,30	2852,30
-38,97	-12,62	3276,20	3982,30	3982,30
-42,23	-14,50	2251,00	822,60	822,60
-40,43	-11,10	801,50	1259,30	1259,30
-40,90	-14,33	1377,40	1431,70	1431,70
-42,48	-14,07	5028,70	844,50	844,50
-41,48	-11,68	1768,80	977,80	977,80
-39,03	-13,48	1776,90	2088,00	2088,00
-39,50	-15,42	3112,60	2018,60	2018,60
-38,33	-12,68	30831,10	5838,40	5838,40
-39,12	-13,93	3454,70	2032,20	2032,20
-43,00	-9,50	2794,20	488,00	3173,90
-40,32	-10,51	7085,70	1220,70	3403,20
-44,22	-13,07	879,70	480,90	480,90
-41,77	-11,68	2557,10	962,30	962,30
-38,93	-15,67	2982,50	3881,00	3881,00
-39,13	-11,80	721,20	2149,40	2149,40
-38,55	-12,67	8692,30	3976,70	3976,70
-42,87	-14,40	1351,80	865,10	865,10
-41,25	-15,50	2402,40	1165,90	1165,90
-39,50	-10,67	3403,20	2237,70	1204,90
-39,13	-9,90	1593,50	1759,40	7085,70
-39,85	-11,67	1070,00	2143,30	2143,30
-40,00	-11,37	3015,80	1272,20	1272,20
-39,10	-9,35	776,20	3403,20	9177,40
-39,25	-17,72	2126,90	1615,10	1541,70
-37,93	-11,93	849,80	21322,60	21322,60
-43,75	-14,30	2822,10	639,80	639,80
-40,98	-9,17	7219,50	1204,70	784,30
-39,42	-12,75	2547,20	3386,70	3386,70
-44,87	-12,32	272,20	349,00	349,00
-38,37	-12,35	5432,50	6649,70	6649,70
-42,28	-13,32	840,60	782,80	782,80
-42,12	-11,13	1639,60	723,20	723,20
-39,10	-8,97	1032,40	3416,80	1465,20
-38,38	-10,60	3173,90	15538,00	3439,80
-38,52	-11,10	1650,50	4824,80	4824,80
-39,55	-14,63	1523,10	1843,30	1843,30
-44,53	-14,18	1793,80	533,50	533,50
-39,00	-12,50	2203,60	2157,70	2157,70
-39,17	-12,77	1619,00	2251,00	2251,00
-39,27	-11,55	6649,70	3134,60	3134,60
-38,77	-12,32	3273,40	4183,20	4183,20
-37,62	-11,80	2532,60	16339,30	16339,30
-41,98	-14,88	1621,60	1141,10	1141,10
-41,03	-13,75	312,80	1068,90	1068,90
-38,75	-12,23	2149,40	4566,50	4566,50
-41,93	-15,03	777,00	1175,60	1175,60
-44,47	-13,82	1321,10	461,80	461,80
-37,92	-10,28	1465,20	30831,10	309,60
-44,63	-13,33	3134,60	547,40	547,40
-44,25	-12,03	1285,90	437,60	437,60
-39,80	-13,35	445,50	2161,20	2161,20
-38,15	-11,50	2032,20	7985,20	7985,20
-44,42	-12,23	1308,40	399,90	399,90
-39,12	-12,67	6302,60	1819,80	1819,80
-39,90	-8,98	3416,80	3456,90	7219,50
-39,90	-14,43	945,00	2169,30	2169,30
-38,28	-12,60	8280,80	6021,50	6021,50
-41,77	-13,75	1138,40	1070,00	1070,00
-39,18	-12,90	317,50	2309,40	2309,40
-39,52	-12,93	723,20	1953,40	1953,40
-40,90	-15,52	1501,70	1523,10	1523,10
-38,10	-11,93	4111,70	6302,60	6302,60
-42,13	-13,42	961,60	795,90	795,90
-37,93	-11,78	3700,50	21864,70	21864,70
-39,00	-10,50	6021,50	3000,40	21864,70
-39,58	-16,37	11446,30	2305,30	2794,20
-38,23	-10,60	1690,40	13622,00	7085,70
-44,27	-14,20	475,90	474,40	474,40
-38,98	-12,27	62321,00	4400,50	4400,50
-40,13	-10,73	1541,70	1206,30	3173,90
-39,92	-14,98	474,40	1650,50	1650,50
-39,65	-14,85	962,80	2797,30	2797,30
-45,18	-11,03	2521,40	148,90	148,90
-39,50	-13,73	3188,10	3188,10	3188,10
-39,78	-11,47	352,00	2426,50	2426,50
-42,50	-11,42	1038,70	747,80	747,80
-38,25	-9,33	1435,00	9177,40	1465,20
-39,47	-14,32	595,50	1833,40	1833,40
-39,03	-12,60	1990,30	2174,60	2174,60
-41,93	-14,53	547,40	1138,40	1138,40
-42,77	-14,22	8445,60	822,90	822,90
-39,77	-16,58	1966,80	1915,10	21864,70
-38,28	-10,68	1204,90	11446,30	3993,50
-40,22	-12,77	2305,30	1369,10	1369,10
-42,25	-14,25	795,20	835,00	835,00
-39,60	-14,85	2018,60	2557,10	2557,10
-41,28	-13,40	1909,30	1114,20	1114,20
-40,00	-14,83	1536,50	1501,70	1501,70
-42,00	-11,63	1752,40	721,20	721,20
-42,50	-12,87	1409,20	778,40	778,40
-40,93	-12,65	315,00	1362,10	1362,10
-39,37	-14,17	2253,60	2487,40	2487,40
-40,12	-17,68	784,30	1580,10	4183,20
-39,63	-14,07	1357,90	2521,40	2521,40
-42,23	-12,65	1556,60	769,40	769,40
-41,98	-11,53	1615,10	962,80	962,80
-43,23	-12,18	2617,90	588,70	588,70
-39,18	-11,73	533,50	1721,10	1721,10
-42,72	-13,77	1476,40	795,20	795,20
-39,13	-13,82	1206,60	2840,80	2840,80
-40,10	-14,75	2610,90	1464,60	1464,60
-39,03	-14,78	15674,20	2532,60	2532,60
-38,37	-11,78	3982,30	7085,70	7085,70
-39,30	-12,30	1333,20	1876,20	1876,20
-39,75	-14,13	4507,20	2144,30	2144,30
-39,75	-12,17	5838,40	2018,60	2018,60
-42,62	-11,82	905,70	743,10	743,10
-40,10	-13,25	639,80	1369,10	1369,10
-40,97	-13,28	697,70	1383,20	1383,20
-41,62	-12,23	2483,10	984,50	984,50
-38,77	-12,07	2840,80	4547,50	4547,50
-41,87	-11,30	7315,30	927,60	927,60
-39,55	-16,57	3000,40	2331,70	588,70
-40,30	-12,52	6389,80	1357,90	1357,90
-39,27	-14,78	21322,60	1793,80	1793,80
-39,00	-14,27	2815,40	2731,70	2731,70
-40,98	-12,98	1526,70	1363,40	1363,40
-40,00	-14,17	1124,30	1428,30	1428,30
-39,85	-14,28	1343,40	1941,50	1941,50
-39,62	-16,08	588,70	1690,40	272,20
-42,38	-11,00	1375,30	757,90	757,90
-39,73	-15,13	561,80	2822,10	2822,10
-39,37	-14,67	1941,20	1909,30	1909,30
-39,52	-17,05	6352,60	1611,60	1966,80
-39,68	-13,77	707,40	3301,80	3301,80
-40,62	-15,23	2157,70	1541,10	1541,10
-38,03	-12,25	553,60	7219,50	7219,50
-40,33	-17,15	1833,40	1556,60	1631,20
-38,67	-12,88	2154,30	3950,40	3950,40
