Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
110001 ALTA FLORESTA D'OESTE,-,6,22,20,30,47,147,114,13,10,12,1,422
110002 ARIQUEMES,-,8,20,24,29,44,106,101,23,8,9,4,376
110003 CABIXI,-,-,2,4,11,2,18,18,4,2,5,-,66
110004 CACOAL,1,8,17,50,46,32,107,86,18,5,13,6,389
110005 CEREJEIRAS,-,4,3,19,8,8,51,37,5,2,4,1,142
110006 COLORADO DO OESTE,-,-,-,1,1,3,19,19,4,-,3,-,50
110007 CORUMBIARA,-,-,1,3,5,7,16,28,3,4,5,1,73
110008 COSTA MARQUES,-,2,7,4,4,5,13,14,1,4,-,-,54
110009 ESPIGAO D'OESTE,-,1,14,19,16,18,54,53,4,5,11,4,199
110010 GUAJARA-MIRIM,-,-,4,1,10,15,59,49,5,4,4,1,152
110011 JARU,-,5,15,42,44,62,242,177,22,27,17,10,663
110012 JI-PARANA,1,11,42,56,57,59,215,138,29,11,17,11,647
110013 MACHADINHO D'OESTE,-,-,5,3,3,7,26,20,4,1,2,-,71
110014 NOVA BRASILANDIA D'OESTE,-,-,2,1,7,11,31,29,7,2,2,1,93
110015 OURO PRETO DO OESTE,-,1,-,5,3,6,12,15,4,-,2,2,50
110018 PIMENTA BUENO,-,2,21,73,79,71,279,227,54,28,42,10,886
110020 PORTO VELHO,-,9,39,66,93,87,377,300,51,37,28,21,1108
110025 PRESIDENTE MEDICI,1,1,3,7,12,10,42,42,7,7,9,5,146
110026 RIO CRESPO,-,1,-,2,2,1,8,14,1,3,3,2,37
110028 ROLIM DE MOURA,-,10,13,51,50,76,259,148,16,13,14,9,659
110029 SANTA LUZIA D'OESTE,-,-,1,5,9,8,27,33,7,4,1,2,97
110030 VILHENA,1,36,106,139,165,143,561,379,61,35,31,15,1672
110032 SAO MIGUEL DO GUAPORE,-,-,1,-,-,3,5,3,-,-,-,-,12
110033 NOVA MAMORE,-,1,7,8,11,12,81,43,9,4,5,1,182
110034 ALVORADA D'OESTE,-,2,7,12,19,13,58,49,13,11,8,3,195
110037 ALTO ALEGRE DOS PARECIS,-,3,4,3,15,16,47,40,6,5,3,3,145
110040 ALTO PARAISO,-,-,-,2,3,2,11,9,3,-,2,3,35
110045 BURITIS,-,-,3,6,8,6,24,21,4,2,4,2,80
110050 NOVO HORIZONTE DO OESTE,-,-,2,6,4,1,8,14,2,1,2,1,41
110060 CACAULANDIA,-,3,5,7,20,8,105,73,10,7,12,3,253
110070 CAMPO NOVO DE RONDONIA,-,-,3,6,2,7,19,16,1,1,1,-,56
110080 CANDEIAS DO JAMARI,-,1,1,1,2,2,10,6,1,1,1,-,26
110090 CASTANHEIRAS,-,-,-,-,-,1,4,2,1,2,2,-,12
110092 CHUPINGUAIA,-,6,20,30,29,28,93,48,12,2,3,2,273
110094 CUJUBIM,-,-,9,16,7,16,50,30,2,3,2,-,135
110100 GOVERNADOR JORGE TEIXEIRA,-,1,-,1,1,3,7,2,-,-,-,-,15
