Munic�pio de resid�ncia,Ign/Branco,Branca,Preta,Amarela,Parda,Indigena,Total
110001 ALTA FLORESTA D'OESTE,1,187,9,1,221,3,422
110002 ARIQUEMES,102,24,5,5,238,2,376
110003 CABIXI,3,30,5,-,28,-,66
110004 CACOAL,1,38,2,-,347,1,389
110005 CEREJEIRAS,22,63,5,1,50,1,142
110006 COLORADO DO OESTE,4,10,1,-,35,-,50
110007 CORUMBIARA,2,24,7,-,40,-,73
110008 COSTA MARQUES,1,4,6,-,37,6,54
110009 ESPIGAO D'OESTE,2,83,5,5,103,1,199
110010 GUAJARA-MIRIM,18,21,9,1,100,3,152
110011 JARU,6,24,3,3,626,1,663
110012 JI-PARANA,246,115,7,39,240,-,647
110013 MACHADINHO D'OESTE,-,11,2,-,58,-,71
110014 NOVA BRASILANDIA D'OESTE,1,22,4,6,59,1,93
110015 OURO PRETO DO OESTE,3,17,-,2,28,-,50
110018 PIMENTA BUENO,49,199,27,12,596,3,886
110020 PORTO VELHO,86,233,53,12,722,2,1108
110025 PRESIDENTE MEDICI,3,33,4,4,102,-,146
110026 RIO CRESPO,10,11,3,-,13,-,37
110028 ROLIM DE MOURA,47,138,16,33,424,1,659
110029 SANTA LUZIA D'OESTE,15,34,3,3,42,-,97
110030 VILHENA,622,535,24,30,457,4,1672
110032 SAO MIGUEL DO GUAPORE,-,5,-,-,7,-,12
110033 NOVA MAMORE,58,23,8,-,92,1,182
110034 ALVORADA D'OESTE,1,7,2,-,185,-,195
110037 ALTO ALEGRE DOS PARECIS,-,54,10,6,75,-,145
110040 ALTO PARAISO,16,5,1,-,9,4,35
110045 BURITIS,4,23,1,1,51,-,80
110050 NOVO HORIZONTE DO OESTE,-,14,-,-,27,-,41
110060 CACAULANDIA,19,89,57,2,86,-,253
110070 CAMPO NOVO DE RONDONIA,3,8,3,2,40,-,56
110080 CANDEIAS DO JAMARI,2,4,3,-,17,-,26
110090 CASTANHEIRAS,-,4,-,-,8,-,12
110092 CHUPINGUAIA,3,41,9,2,211,7,273
110094 CUJUBIM,13,40,9,1,70,2,135
110100 GOVERNADOR JORGE TEIXEIRA,1,-,-,1,13,-,15
110110 ITAPUA DO OESTE,4,18,3,16,137,-,178
110120 MINISTRO ANDREAZZA,-,12,4,-,25,-,41
110130 MIRANTE DA SERRA,-,-,3,-,87,1,91
110140 MONTE NEGRO,10,21,15,13,116,2,177
110143 NOVA UNIAO,-,-,-,-,9,-,9
110145 PARECIS,-,25,7,1,36,1,70
110146 PIMENTEIRAS DO OESTE,4,16,7,1,15,3,46
110147 PRIMAVERA DE RONDONIA,-,37,9,1,60,-,107
110148 SAO FELIPE D'OESTE,-,22,4,1,40,-,67
110149 SAO FRANCISCO DO GUAPORE,-,24,7,2,80,-,113
110150 SERINGUEIRAS,-,11,3,-,29,-,43
110155 TEIXEIROPOLIS,-,4,-,1,2,-,7
110160 THEOBROMA,-,25,9,-,55,-,89
110170 URUPA,1,2,1,-,17,-,21
110175 VALE DO ANARI,3,15,2,3,68,-,91
110180 VALE DO PARAISO,10,14,5,1,30,-,60
120001 ACRELANDIA,7,1,2,-,40,-,50
120005 ASSIS BRASIL,463,4,1,2,50,32,552
120010 BRASILEIA,3,17,2,1,691,2,716
120013 BUJARI,30,16,15,11,153,-,225
120017 CAPIXABA,9,14,4,7,245,-,279
120020 CRUZEIRO DO SUL,3,2,-,-,745,1,751
120025 EPITACIOLANDIA,2,6,6,-,379,-,393
120030 FEIJO,-,11,1,8,766,11,797
120032 JORDAO,-,1,-,-,1,1,3
120033 MANCIO LIMA,-,33,21,30,204,14,302
120034 MANOEL URBANO,1,22,5,2,86,2,118
120035 MARECHAL THAUMATURGO,-,1,1,-,33,1,36
120038 PLACIDO DE CASTRO,4,6,3,3,107,-,123
120039 PORTO WALTER,-,12,-,-,80,2,94
120040 RIO BRANCO,276,87,16,22,833,5,1239
120042 RODRIGUES ALVES,1,4,-,2,139,-,146
120043 SANTA ROSA DO PURUS,-,-,-,-,3,2,5
120045 SENADOR GUIOMARD,2,-,-,1,28,-,31
120050 SENA MADUREIRA,1,2,1,1,563,4,572
120060 TARAUACA,3,-,-,2,346,3,354
120070 XAPURI,2,13,11,3,136,3,168
120080 PORTO ACRE,10,25,11,2,146,-,194
