Munic�pio de resid�ncia,2023
110001 ALTA FLORESTA D'OESTE,422
110002 ARIQUEMES,376
110003 CABIXI,66
110004 CACOAL,389
110005 CEREJEIRAS,142
110006 COLORADO DO OESTE,50
110007 CORUMBIARA,73
110008 COSTA MARQUES,54
110009 ESPIGAO D'OESTE,199
110010 GUAJARA-MIRIM,152
110011 JARU,663
110012 JI-PARANA,647
110013 MACHADINHO D'OESTE,71
110014 NOVA BRASILANDIA D'OESTE,93
110015 OURO PRETO DO OESTE,50
110018 PIMENTA BUENO,886
110020 PORTO VELHO,1108
110025 PRESIDENTE MEDICI,146
110026 RIO CRESPO,37
110028 ROLIM DE MOURA,659
110029 SANTA LUZIA D'OESTE,97
110030 VILHENA,1672
110032 SAO MIGUEL DO GUAPORE,12
110033 NOVA MAMORE,182
110034 ALVORADA D'OESTE,195
110037 ALTO ALEGRE DOS PARECIS,145
110040 ALTO PARAISO,35
110045 BURITIS,80
110050 NOVO HORIZONTE DO OESTE,41
110060 CACAULANDIA,253
110070 CAMPO NOVO DE RONDONIA,56
110080 CANDEIAS DO JAMARI,26
110090 CASTANHEIRAS,12
110092 CHUPINGUAIA,273
110094 CUJUBIM,135
110100 GOVERNADOR JORGE TEIXEIRA,15
110110 ITAPUA DO OESTE,178
110120 MINISTRO ANDREAZZA,41
110130 MIRANTE DA SERRA,91
110140 MONTE NEGRO,177
110143 NOVA UNIAO,9
110145 PARECIS,70
110146 PIMENTEIRAS DO OESTE,46
110147 PRIMAVERA DE RONDONIA,107
110148 SAO FELIPE D'OESTE,67
110149 SAO FRANCISCO DO GUAPORE,113
110150 SERINGUEIRAS,43
110155 TEIXEIROPOLIS,7
110160 THEOBROMA,89
110170 URUPA,21
110175 VALE DO ANARI,91
110180 VALE DO PARAISO,60
120001 ACRELANDIA,50
120005 ASSIS BRASIL,552
120010 BRASILEIA,716
120013 BUJARI,225
120017 CAPIXABA,279
120020 CRUZEIRO DO SUL,751
120025 EPITACIOLANDIA,393
120030 FEIJO,797
120032 JORDAO,3
120033 MANCIO LIMA,302
120034 MANOEL URBANO,118
120035 MARECHAL THAUMATURGO,36
120038 PLACIDO DE CASTRO,123
120039 PORTO WALTER,94
120040 RIO BRANCO,1239
120042 RODRIGUES ALVES,146
120043 SANTA ROSA DO PURUS,5
120045 SENADOR GUIOMARD,31
120050 SENA MADUREIRA,572
120060 TARAUACA,354
120070 XAPURI,168
120080 PORTO ACRE,194
130002 ALVARAES,237
130006 AMATURA,1
130014 APUI,8
130020 ATALAIA DO NORTE,18
130040 BARCELOS,17
130060 BENJAMIN CONSTANT,89
130063 BERURI,2
130070 BOCA DO ACRE,19
130080 BORBA,42
130083 CAAPIRANGA,1
130100 CARAUARI,2
130110 CAREIRO,5
130120 COARI,123
130130 CODAJAS,31
130140 EIRUNEPE,6
130150 ENVIRA,5
130165 GUAJARA,48
130170 HUMAITA,274
130180 IPIXUNA,460
130185 IRANDUBA,99
130190 ITACOATIARA,6
130210 JAPURA,291
130230 JUTAI,698
130240 LABREA,613
130250 MANACAPURU,30
130255 MANAQUIRI,1
130260 MANAUS,1167
130270 MANICORE,98
130280 MARAA,114
130290 MAUES,70
130310 NOVA OLINDA DO NORTE,1
130320 NOVO AIRAO,2
130330 NOVO ARIPUANA,3
130340 PARINTINS,5
130350 PAUINI,3
130353 PRESIDENTE FIGUEIREDO,13
130356 RIO PRETO DA EVA,17
130360 SANTA ISABEL DO RIO NEGRO,1
130370 SANTO ANTONIO DO ICA,27
130380 SAO GABRIEL DA CACHOEIRA,4
130390 SAO PAULO DE OLIVENCA,159
130395 SAO SEBASTIAO DO UATUMA,1
130406 TABATINGA,139
130410 TAPAUA,155
130420 TEFE,856
130423 TONANTINS,378
130426 UARINI,12
130430 URUCARA,1
140002 AMAJARI,1
140005 ALTO ALEGRE,1
140010 BOA VISTA,61
140015 BONFIM,91
140017 CANTA,16
140020 CARACARAI,8
140023 CAROEBE,2
140028 IRACEMA,22
140030 MUCAJAI,6
140040 NORMANDIA,1
140045 PACARAIMA,5
140047 RORAINOPOLIS,18
140050 SAO JOAO DA BALIZA,1
150010 ABAETETUBA,26
150013 ABEL FIGUEIREDO,10
150020 ACARA,34
150030 AFUA,229
150034 AGUA AZUL DO NORTE,124
150040 ALENQUER,3
150050 ALMEIRIM,3
150060 ALTAMIRA,340
150070 ANAJAS,5
150080 ANANINDEUA,62
150085 ANAPU,20
150090 AUGUSTO CORREA,4
150095 AURORA DO PARA,91
150110 BAGRE,9
150120 BAIAO,5
150125 BANNACH,26
150130 BARCARENA,6
150140 BELEM,528
150145 BELTERRA,7
150150 BENEVIDES,59
150157 BOM JESUS DO TOCANTINS,7
150170 BRAGANCA,10
150172 BRASIL NOVO,7
150175 BREJO GRANDE DO ARAGUAIA,6
150178 BREU BRANCO,6
150180 BREVES,47
150190 BUJARU,1
150200 CACHOEIRA DO ARARI,1
150210 CAMETA,165
150215 CANAA DOS CARAJAS,127
150220 CAPANEMA,39
150230 CAPITAO POCO,21
150240 CASTANHAL,140
150260 COLARES,4
150270 CONCEICAO DO ARAGUAIA,123
150275 CONCORDIA DO PARA,3
150276 CUMARU DO NORTE,108
150277 CURIONOPOLIS,1
150290 CURUCA,7
150293 DOM ELISEU,12
150295 ELDORADO DOS CARAJAS,8
150304 FLORESTA DO ARAGUAIA,107
150307 GARRAFAO DO NORTE,1
150309 GOIANESIA DO PARA,8
150310 GURUPA,2
150320 IGARAPE-ACU,45
150330 IGARAPE-MIRI,8
150340 INHANGAPI,5
150345 IPIXUNA DO PARA,32
150350 IRITUIA,8
150360 ITAITUBA,12
150370 ITUPIRANGA,168
150375 JACAREACANGA,3
150380 JACUNDA,172
150390 JURUTI,4
150400 LIMOEIRO DO AJURU,5
150405 MAE DO RIO,26
150410 MAGALHAES BARATA,27
150420 MARABA,24
150430 MARACANA,7
150440 MARAPANIM,6
150442 MARITUBA,24
150445 MEDICILANDIA,15
150450 MELGACO,3
150460 MOCAJUBA,4
150470 MOJU,15
150475 MOJUI DOS CAMPOS,11
