Microrregião IBGE de notificação,2024
12001 CRUZEIRO DO SUL,1613
12002 TARAUACA,320
12003 SENA MADUREIRA,88
12004 RIO BRANCO,1341
12005 BRASILEIA,1681
27001 SERRANA DO SERTAO ALAGOANO,119
27002 ALAGOANA DO SERTAO DO SAO FRANCISCO,124
27003 SANTANA DO IPANEMA,473
27004 BATALHA,122
27005 PALMEIRA DOS INDIOS,594
27006 ARAPIRACA,1111
27007 TRAIPU,6
27008 SERRANA DOS QUILOMBOS,543
27009 MATA ALAGOANA,524
27010 LITORAL NORTE ALAGOANO,626
27011 MACEIO,3079
27012 SAO MIGUEL DOS CAMPOS,365
27013 PENEDO,40
13001 RIO NEGRO,165
13002 JAPURA,174
13003 ALTO SOLIMOES,1391
13004 JURUA,577
13005 TEFE,828
13006 COARI,1426
13007 MANAUS,2656
13008 RIO PRETO DA EVA,20
13009 ITACOATIARA,17
13010 PARINTINS,106
13011 BOCA DO ACRE,26
13012 PURUS,1076
13013 MADEIRA,110
16001 OIAPOQUE,1578
16002 AMAPA,1215
16003 MACAPA,2624
16004 MAZAGAO,845
29001 BARREIRAS,3924
29002 COTEGIPE,1796
29003 SANTA MARIA DA VITORIA,6973
29004 JUAZEIRO,2446
29005 PAULO AFONSO,1941
29006 BARRA,1916
29007 BOM JESUS DA LAPA,5420
29008 SENHOR DO BONFIM,1533
29009 IRECE,10184
29010 JACOBINA,11658
29011 ITABERABA,4094
29012 FEIRA DE SANTANA,10798
29013 JEREMOABO,147
29014 EUCLIDES DA CUNHA,765
29015 RIBEIRA DO POMBAL,963
29016 SERRINHA,7893
29017 ALAGOINHAS,872
29018 ENTRE RIOS,453
29019 CATU,854
29020 SANTO ANTONIO DE JESUS,6727
29021 SALVADOR,9998
29022 BOQUIRA,5254
29023 SEABRA,8058
29024 JEQUIE,2844
29025 LIVRAMENTO DO BRUMADO,2607
29026 GUANAMBI,22429
29027 BRUMADO,9119
29028 VITORIA DA CONQUISTA,54802
29029 ITAPETINGA,3983
29030 VALENCA,2471
29031 ILHEUS-ITABUNA,6213
29032 PORTO SEGURO,8692
23001 LITORAL DE CAMOCIM E ACARAU,325
23002 IBIAPABA,380
23003 COREAU,8
23004 MERUOCA,18
23005 SOBRAL,387
23006 IPU,232
23007 SANTA QUITERIA,12
23008 ITAPIPOCA,208
23009 BAIXO CURU,29
23010 URUBURETAMA,28
23011 MEDIO CURU,36
23012 CANINDE,81
23013 BATURITE,233
23014 CHOROZINHO,24
23015 CASCAVEL,61
23016 FORTALEZA,2592
23017 PACAJUS,56
23018 SERTAO DE CRATEUS,193
23019 SERTAO DE QUIXERAMOBIM,154
23020 SERTAO DE INHAMUNS,540
23021 SERTAO DE SENADOR POMPEU,116
23022 LITORAL DE ARACATI,187
23023 BAIXO JAGUARIBE,244
23024 MEDIO JAGUARIBE,222
23025 SERRA DO PEREIRO,82
23026 IGUATU,155
23027 VARZEA ALEGRE,87
23028 LAVRAS DA MANGABEIRA,39
23029 CHAPADA DO ARARIPE,117
23030 CARIRIACU,174
23031 BARRO,91
23032 CARIRI,1107
23033 BREJO SANTO,2684
53001 BRASILIA,267535
52001 SAO MIGUEL DO ARAGUAIA,1374
52002 RIO VERMELHO,3213
52003 ARAGARCAS,1439
52004 PORANGATU,6462
52005 CHAPADA DOS VEADEIROS,4022
52006 CERES,9468
52007 ANAPOLIS,45955
52008 IPORA,3763
52009 ANICUNS,7487
52010 GOIANIA,63791
52011 VAO DO PARANA,6773
52012 ENTORNO DE BRASILIA,76240
52013 SUDOESTE DE GOIAS,24941
52014 VALE DO RIO DOS BOIS,4988
52015 MEIA PONTE,9811
52016 PIRES DO RIO,6514
52017 CATALAO,7877
