Munic�pio de notifica��o,2023
110002 ARIQUEMES,131
110003 CABIXI,2
110004 CACOAL,181
110005 CEREJEIRAS,58
110009 ESPIGAO D'OESTE,8
110010 GUAJARA-MIRIM,6
110011 JARU,6
110012 JI-PARANA,4
110015 OURO PRETO DO OESTE,12
110020 PORTO VELHO,268
110025 PRESIDENTE MEDICI,38
110030 VILHENA,4
110040 ALTO PARAISO,15
110060 CACAULANDIA,3
110092 CHUPINGUAIA,3
110145 PARECIS,45
110149 SAO FRANCISCO DO GUAPORE,2
110150 SERINGUEIRAS,50
110170 URUPA,4
120010 BRASILEIA,1
120020 CRUZEIRO DO SUL,340
120030 FEIJO,4
120033 MANCIO LIMA,6
120034 MANOEL URBANO,42
120040 RIO BRANCO,1110
120042 RODRIGUES ALVES,6
120060 TARAUACA,11
120070 XAPURI,2
130002 ALVARAES,8
130080 BORBA,115
130100 CARAUARI,18
130115 CAREIRO DA VARZEA,2
130120 COARI,45
130170 HUMAITA,224
130180 IPIXUNA,52
130185 IRANDUBA,6
130190 ITACOATIARA,6
130250 MANACAPURU,1
130260 MANAUS,130
130320 NOVO AIRAO,2
130353 PRESIDENTE FIGUEIREDO,12
130370 SANTO ANTONIO DO ICA,11
140002 AMAJARI,2
140005 ALTO ALEGRE,1
140010 BOA VISTA,61
140015 BONFIM,7
140017 CANTA,74
140020 CARACARAI,24
140023 CAROEBE,41
140028 IRACEMA,28
140030 MUCAJAI,82
140040 NORMANDIA,2
140045 PACARAIMA,1
140047 RORAINOPOLIS,73
140050 SAO JOAO DA BALIZA,16
150010 ABAETETUBA,2
150020 ACARA,35
150030 AFUA,8
150060 ALTAMIRA,8
150080 ANANINDEUA,21
150090 AUGUSTO CORREA,2
150130 BARCARENA,1
150140 BELEM,65
150150 BENEVIDES,4
150210 CAMETA,86
150220 CAPANEMA,2
150230 CAPITAO POCO,12
150240 CASTANHAL,81
150270 CONCEICAO DO ARAGUAIA,26
150290 CURUCA,6
150293 DOM ELISEU,2
150345 IPIXUNA DO PARA,2
150350 IRITUIA,5
150380 JACUNDA,2
150400 LIMOEIRO DO AJURU,2
150405 MAE DO RIO,2
150420 MARABA,7
150442 MARITUBA,133
150460 MOCAJUBA,4
150475 MOJUI DOS CAMPOS,4
150480 MONTE ALEGRE,4
150497 NOVA IPIXUNA,1
150530 ORIXIMINA,5
150550 PARAGOMINAS,14
150613 REDENCAO,18
150619 RUROPOLIS,15
150650 SANTA IZABEL DO PARA,104
150680 SANTAREM,64
150740 SAO FRANCISCO DO PARA,1
150745 SAO GERALDO DO ARAGUAIA,2
150808 TUCUMA,2
150810 TUCURUI,2
150840 XINGUARA,2
160030 MACAPA,72
160040 MAZAGAO,1
160060 SANTANA,25
