Territorialidades,PIB_2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,adolecentes_15_17
Abaíra,4.64,NA,10.2
Abaré,4.15,2.33,30.23
Acajutiba,4.85,1.16,19.77
Adustina,3.9,0.71,22.86
Água Fria,5.28,2.3,20.69
Aiquara,6.97,1.69,20.34
Alagoinhas,13.58,0.95,16.93
Alcobaça,7.4,1.67,25.42
Almadina,6.07,2.74,24.66
Amargosa,5.9,1.3,16.88
Amélia Rodrigues,7.05,1.75,18.86
América Dourada,4.78,0.79,22.22
Anagé,5.37,0.44,15.79
Andaraí,4.59,1.38,26.21
Andorinha,7.35,1.69,27.12
Angical,6.49,1.55,14.51
Anguera,3.6,1.25,23.75
Antas,3.86,0.7,26.06
Antônio Cardoso,4.95,0.74,13.97
Antônio Gonçalves,3.52,1.72,22.41
Aporá,4.08,2.38,20.48
Apuarema,5.82,3.7,22.22
Araçás,6.67,0.54,17.84
Aracatu,4.23,0.63,11.95
Araci,4.68,1.13,25.56
Aramari,4.95,0.7,26.06
Arataca,5.56,3.05,25.95
Aratuípe,4.89,0.79,20.47
Aurelino Leal,5.89,1.92,33.65
Baianópolis,5.96,0.58,18.6
Baixa Grande,4.26,0.9,20.81
Banzaê,3.97,1.72,21.84
Barra,4.25,1.27,23.85
Barra Da Estiva,7.33,0.72,18.47
Barra Do Choça,9.68,1.25,22.5
Barra Do Mendes,4.14,1.62,23.24
Barra Do Rocha,6.48,1.54,23.08
Barreiras,14.34,0.82,16.73
Barro Alto,3.62,1.84,26.38
Barrocas,10.3,1.55,16.58
Barro Preto,6.27,3.16,26.32
Belmonte,7.9,1.41,33.45
Belo Campo,4.29,0.93,18.06
Biritinga,4.29,1.02,22.96
Boa Nova,4.37,1.22,26.22
Boa Vista Do Tupim,3.97,2.02,20.24
Bom Jesus Da Lapa,7.81,1.4,19.26
Bom Jesus Da Serra,3.3,1.57,18.11
Boninal,4.02,0.66,20.39
Bonito,6.16,2.15,36.05
Boquira,4.06,1.13,23.31
Botuporã,5.19,0.74,15.44
Brejões,5.65,NA,22
Brejolândia,5.28,NA,24.36
Brotas De Macaúbas,4.11,0.79,23.81
Brumado,13.1,0.47,14.84
Buerarema,6.11,2.45,26.94
Buritirama,3.6,2.45,20.28
Caatiba,4.38,1.19,14.29
Cabaceiras Do Paraguaçu,4.55,0.85,17.8
Cachoeira,9.92,0.71,16.98
Caculé,6.74,1.32,13.53
Caém,5.7,1.68,26.05
Caetanos,3.19,NA,21.21
Caetité,8.03,0.86,15.8
Cafarnaum,8.51,2.19,23.36
Cairu,16.71,0.66,24.58
Caldeirão Grande,4.99,2.05,26.15
Camacan,5.38,2.11,27.11
Camaçari,49.86,0.76,16.25
Camamu,6.15,1.63,28.75
Campo Alegre De Lourdes,4.27,1.11,22.22
Campo Formoso,6.6,1.39,22.39
Canápolis,4.01,NA,17.16
Canarana,4.33,0.28,27.17
Canavieiras,6.2,2.42,28.63
Candeal,4.02,NA,14.43
Candeias,25.61,1.28,16.81
Candiba,4.61,0.73,16.06
Cândido Sales,4.33,0.83,18.33
Cansanção,4.6,1.47,26.68
Canudos,5.07,0.48,26.32
Capela Do Alto Alegre,4.43,NA,19.79
Capim Grosso,7.53,2.03,18.05
Caraíbas,4.46,NA,13.27
Caravelas,11.5,1.8,26.26
Cardeal Da Silva,5.04,0.85,30.51
Carinhanha,4.29,1.34,20.09
Casa Nova,5.33,1.81,25.38
Castro Alves,8.85,1.26,22.01
Catolândia,13.02,NA,22.22
Catu,6.12,0.84,16.97
Caturama,3.81,NA,15.04
Central,5.27,0.94,21.23
Chorrochó,4.11,1.29,16.13
Cícero Dantas,4.92,0.89,21.66
Cipó,4.49,1.1,16.85
Coaraci,5.44,1.96,33.73
Cocos,7.49,1.3,16.02
Conceição Da Feira,7.43,0.48,25.12
Conceição Do Almeida,5.62,0.56,18.33
Conceição Do Coité,7.14,0.67,19.27
Conceição Do Jacuípe,39.95,0.54,18.92
Conde,6.38,0.63,22.33
Condeúba,4.63,0.94,13.68
Contendas Do Sincorá,5.32,NA,2.63
Coração De Maria,4.97,0.77,16.48
Cordeiros,3.95,1.15,9.2
Coribe,5.46,1.69,20.22
Coronel João Sá,5.2,0.52,25.13
Correntina,22.43,0.23,20.88
Cotegipe,5.75,2.6,18.18
Cravolândia,4.9,1.49,23.88
Crisópolis,4.39,0.73,19.34
Cristópolis,6.07,1.32,22.52
Cruz Das Almas,9.89,1.13,12.3
Curaçá,5.06,2.31,18.03
Dário Meira,5.15,1.76,37.65
Dias D'ávila,27.98,0.92,17.8
Dom Basílio,6.53,NA,15.79
Dom Macedo Costa,4.99,3.45,15.52
Elísio Medrado,4.63,NA,17.91
Encruzilhada,6.08,1.45,21.45
Entre Rios,7.18,1.43,23.66
Érico Cardoso,3.31,2.54,15.25
Esplanada,8.77,1.53,24.51
Euclides Da Cunha,6.65,0.94,20.81
Eunápolis,14.73,1.29,22
Fátima,8.01,NA,22.22
Feira Da Mata,5.43,NA,17.65
Feira De Santana,13.98,0.74,14.78
Filadélfia,4.53,0.4,23.9
Firmino Alves,5.09,NA,25.81
Floresta Azul,4.63,3.08,21.54
Formosa Do Rio Preto,25.51,1.74,21.79
Gandu,6.41,1.78,25.56
Gavião,5.29,2.22,20
Gentio Do Ouro,11.31,3.23,24.19
Glória,7.03,1.3,16.96
Gongogi,5.37,NA,25.84
Governador Mangabeira,8.46,2.03,19.51
Guajeru,4.4,NA,13.48
Guanambi,9.22,0.59,10.93
Guaratinga,6.56,0.98,26.96
Heliópolis,4.28,0.89,16.96
Iaçu,5.03,1.25,28.75
Ibiassucê,5.2,NA,9.47
Ibicaraí,4.85,1.53,25.67
Ibicoara,10.55,0.97,22.58
Ibicuí,6.41,1.94,21.29
Ibipeba,4.22,0.94,22.07
Ibipitanga,3.98,NA,16.05
Ibiquera,4.16,6.35,26.98
Ibirapitanga,5.86,3.33,28.97
Ibirapuã,15.76,1.53,18.32
Ibirataia,6.47,1.9,23.81
Ibitiara,3.87,0.57,18.75
Ibititá,3.9,2.56,25.64
Ibotirama,8.07,1.18,21.65
Ichu,3.98,NA,17.5
Igaporã,6.82,1.14,18.29
Igrapiúna,8.24,2.88,24.04
Iguaí,4.67,2.17,25.47
Ilhéus,14.44,1.72,22.05
Inhambupe,7.2,1.77,21.9
Ipecaetá,3.36,NA,22.62
Ipiaú,5.99,1.38,23.24
Ipirá,7.34,2.06,19.82
Ipupiara,4.87,NA,18.18
Irajuba,5.07,1.22,23.17
Iramaia,5.09,2.15,18.28
Iraquara,8.7,0.8,26.01
Irará,5.37,NA,15.83
Irecê,9.13,1.02,16.99
Itabela,7.04,3.06,27.76
Itaberaba,7.97,1.64,21.23
Itabuna,11.63,0.98,17.92
Itacaré,6.24,1.22,27.44
Itaeté,3.51,1.51,23.62
Itagibá,7.93,0.53,18.95
Itagi,5.37,3.13,26.56
Itagimirim,9.82,1.3,28.57
Itaguaçu Da Bahia,3.76,1.09,24.04
Itaju Do Colônia,5.96,3.57,29.76
Itajuípe,8.18,1.23,25.41
Itamaraju,8.27,2.63,23.87
Itamari,6.31,3.3,25.27
Itambé,6.34,2,24.8
Itanagra,5.02,5.06,20.25
Itanhém,7.08,0.51,14.29
Itaparica,6.13,1.48,26.94
Itapé,6.27,2.88,20.19
Itapebi,35.34,2.61,26.8
Itapetinga,8.77,1.51,20.32
Itapicuru,6.79,0.82,22.62
Itapitanga,4.9,2.56,21.37
Itaquara,5.5,0.99,15.84
Itarantim,8.02,0.48,25.24
Itatim,13.63,0.97,17.39
Itiruçu,4.56,NA,16.3
Itiúba,4.98,0.67,25.39
Itororó,6.78,NA,23.44
Ituaçu,6.58,NA,18.26
Ituberá,7.38,2.19,30.63
Iuiu,5.3,1.79,19.64
Jaborandi,25.11,NA,18.75
Jacaraci,4.08,0.78,12.4
Jacobina,10.1,1.81,20.71
Jaguaquara,6.55,1.13,21.7
Jaguarari,5.61,1.18,20.85
Jaguaripe,5.6,0.5,20.3
Jandaíra,11.62,2.92,18.98
Jequié,10,1.55,17.72
Jeremoabo,5.05,1.08,22.99
Jiquiriçá,4.81,1.42,24.82
Jitaúna,6.01,0.65,24.68
João Dourado,5.65,2.33,20.67
Juazeiro,10.36,1.45,20.33
Jucuruçu,6.39,2,20
Jussara,3.9,1.46,25.85
Jussari,5.36,3.19,25.53
Jussiape,5.19,NA,5.88
Lafaiete Coutinho,6.14,NA,22.73
Lagoa Real,3.6,NA,20.83
Laje,6.29,2.08,19.44
Lajedão,9.68,1.79,23.21
Lajedinho,8.84,2.38,33.33
Lajedo Do Tabocal,5.47,1.02,22.45
Lamarão,3.58,1.25,22.5
Lapão,4.57,1.66,22.8
Lauro De Freitas,20.82,0.64,15.4
Lençóis,6.55,1.36,25.17
Licínio De Almeida,5.17,NA,17.24
Livramento De Nossa Senhora,6.2,0.54,11.81
Luís Eduardo Magalhães,32.49,1.24,17.85
Macajuba,3.98,2.76,24.86
Macarani,5.34,1.45,20.29
Macaúbas,4.23,0.41,16.22
Macururé,3.25,NA,18.56
Madre De Deus,14.62,0.85,18.7
Maetinga,6.38,NA,21.74
Maiquinique,6.09,1.96,23.53
Mairi,4.34,1.18,23.67
Malhada,4.75,1.05,21.6
Malhada De Pedras,4.17,0.93,11.11
Manoel Vitorino,5.05,1.5,21
Mansidão,4.26,NA,25.58
Maracás,8.77,0.55,21.76
Maragogipe,5.79,0.64,20.9
Maraú,7.25,4.41,24.23
Marcionílio Souza,4.66,1.9,36.19
Mascote,6.07,0.57,27.59
Mata De São João,14.94,1.63,15.13
Matina,3.6,1.23,23.46
Medeiros Neto,8.54,0.65,20.45
Miguel Calmon,5.31,1.18,22.19
Milagres,5.2,1.63,22.76
Mirangaba,4.05,0.56,27.53
Mirante,4.07,NA,16.28
Monte Santo,3.97,1.08,18.36
Morpará,4.49,1.8,24.32
Morro Do Chapéu,5.41,0.38,24.05
Mortugaba,4.61,NA,17
Mucugê,25.65,1.28,20.51
Mucuri,31.8,1.24,24.77
Mulungu Do Morro,4.45,3.02,24.62
Mundo Novo,3.63,NA,27.54
Muniz Ferreira,4.22,1.08,18.28
Muquém Do São Francisco,7.29,0.61,23.64
Muritiba,6.25,1.17,14.66
Mutuípe,6.08,1.57,20.69
Nazaré,5.56,0.56,18.11
Nilo Peçanha,6.03,2.81,23.6
Nordestina,5.01,1.66,27.07
Nova Canaã,4.58,0.69,21.38
Nova Fátima,5.73,1.11,17.78
Nova Ibiá,7.17,1.37,26.03
Nova Itarana,3.98,NA,18.94
Nova Redenção,3.31,1.96,33.33
Nova Soure,4.55,0.97,24.19
Nova Viçosa,7.15,1.07,24.35
Novo Horizonte,3.77,1.77,14.16
Novo Triunfo,2.12,2.73,23.64
Olindina,4.79,NA,26.14
Oliveira Dos Brejinhos,4.64,1.57,22.05
Ouriçangas,3.93,1.2,15.66
Ourolândia,5.62,2.33,26.07
Palmas De Monte Alto,4.48,0.78,19.22
Palmeiras,4.81,0.67,14.67
Paramirim,5.69,0.49,11.71
Paratinga,4.06,1.53,17.25
